# .PCD v.7 - Point Cloud Data file format
VERSION .7
FIELDS x y z
SIZE 4 4 4 
TYPE F F F 
COUNT 1 1 1 
WIDTH 94645
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 94645
DATA ascii 
 -0.8653327 -0.0814866 5.7697554
 0.1671744 -0.2942734 5.8905907
 -0.8294523 -0.4549379 6.1714354
 -0.7813637 -0.0659613 5.7947540
 -0.0250507 -0.3443348 5.8750997
 -1.1393812 -0.2640068 6.3487062
 -1.1983579 -0.2190174 7.0956974
 -0.2237611 -0.2760840 7.3484125
 -0.4031374 -0.0619883 6.3031497
 -1.1495004 -0.1449763 6.3380508
 -1.1502244 -0.2244561 6.3234506
 -0.4037787 -0.0648750 6.2647648
 -0.5279185 -0.0615658 6.0854287
 -0.4034585 -0.0640720 6.2820396
 -1.0855455 -0.3091433 7.9051967
 -1.0763471 -0.3043594 7.4059343
 -0.3773380 -0.0480598 6.3598790
 -1.1837790 -0.2322656 6.9519339
 -0.5379983 -0.4521799 7.9040427
 -0.5283614 -0.4265773 7.6993017
 -0.1450986 -0.2657877 6.7555413
 -0.1310075 -0.2030520 6.8511100
 -1.1805848 -0.1517660 6.8370309
 -0.8268008 -0.2643311 6.3106308
 -1.1913242 -0.1823158 6.7905259
 -1.1686165 -0.2302737 6.8049664
 -1.2143637 -0.2182640 7.1045151
 -1.1070303 -0.3227081 7.9763231
 -0.4411778 -0.0531275 6.8834867
 -1.2024798 -0.3328818 6.9982333
 -0.1906813 -0.2802467 7.3707852
 -1.2282218 -0.1968770 7.0791378
 -1.1805472 -0.1226053 6.9787817
 -0.8124496 -0.0468010 6.9463763
 -1.1866763 -0.2333259 6.8302369
 -0.4039101 -0.0566709 6.3260188
 -0.2295590 -0.2767235 7.2974839
 -0.4642037 -0.0621676 6.6769104
 -0.9500315 -0.1346255 7.0988216
 -1.2060825 -0.3346853 7.0056982
 -0.2310411 -0.1612870 6.8527975
 -1.1940088 -0.2339604 6.9714475
 -0.8027326 -0.3299589 6.7672262
 -1.1896111 -0.1738878 6.8054199
 -1.1806239 -0.2304939 6.8156757
 -1.2258500 -0.1499536 7.1286454
 -14.6531610 0.3809167 10.0711975
 -14.1099348 0.3627221 9.9495583
 -12.9612894 0.0928408 9.4607821
 -14.3120918 0.2809423 9.8132420
 -12.5295820 0.2762119 8.2652397
 -12.5341949 -0.2907268 8.7965117
 -12.4401560 -0.3597602 8.3323736
 -14.1755104 0.3648216 9.8653822
 -12.9663734 0.0858064 9.4654312
 -12.1715193 -0.0538806 8.6199760
 -12.9708643 0.0865300 9.4666843
 -14.3765488 0.3762704 9.7002573
 -14.2793312 0.2374551 9.5778208
 -12.2118492 -0.0556458 8.6508875
 -14.2204695 0.1436885 9.3971329
 -14.6879082 0.3527983 10.0568905
 -13.6196022 0.1927985 10.0498734
 -14.2159328 0.0773565 9.3899488
 -14.6877718 0.3527067 10.0559769
 -12.5165424 0.3159798 7.6909356
 -8.7459869 -0.5936971 5.9894886
 -8.5036974 -0.6490337 5.8551092
 -11.4741898 0.0593882 7.8734717
 -11.8921986 0.1377312 6.9316807
 -8.8729124 -0.5186883 5.8223176
 -9.3516312 0.2410489 5.0246811
 -12.5297775 0.3019505 7.6408010
 -12.6661339 0.3045700 8.8413286
 -12.5939980 0.2196499 8.8126917
 -12.1525707 0.1962629 8.5378904
 -13.3009090 0.3080754 8.4003162
 -13.3752613 0.2520807 8.4181156
 -12.4076109 0.0062093 8.2322636
 -12.4954405 0.2658042 8.1563616
 -6.1192245 -0.6912946 6.7384758
 -12.7642899 0.3540243 8.2658596
 -13.1853266 0.2500755 8.2871504
 -13.0474224 0.3351098 8.4691734
 -12.8707123 0.1710885 7.9477654
 -13.1760950 -0.1514578 7.9075050
 -13.9401951 0.3990613 9.1552906
